"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR2300-001 Government Travel Charge Card Regulation (06/24/21),OCFO,OCFO-FPD,06/24/21,06/24/26,
DR2300-002 USDA Relocation Allowance Regulation (08/26/2013),OCFO,OCFO-FPD,08/26/13,,
DR2300-004 USDA Evacuation Policies and Procedures (03/06/06),OCFO,OCFO-AMD,03/06/06,,
DR2300-005 Agriculture Travel Regulation (12/08/15),OCFO,OCFO-FPD,12/08/15,,
"DR2340-001 Payment of MEDEVAC and Medical Expenses of Employees on Overseas Temporary Duty Assignment
(10/01/20)",FAS-OCOO,FAS-OCOO,10/01/20,10/01/25,
"DR2400-005 FS LLL, Disclosure of Lobbying Activities (11/13/90)","Office of Operations,
Procurement Division",OO,11/13/90,,
DR2400-006 Single Audit: Audit Follow Up – Management Decision – Compliance Supplement (10/30/20),OCFO,OCFO,10/30/20,10/30/25,
DR2405-001 Guidance on the Use of Prize Competitions and Challenges (09/30/2014),OCFO,OCFO-TARD,09/30/14,,
DR2510-001 Claims Against the United States (06/04/15),OGC,OCFO-TARD,06/04/15,,
DR2570-002 Waiver of Employee Overpayments (08/27/21),OCFO-FPD,OCFO-FPD,08/27/21,08/27/26,
DR2600-001 Taxation of Fringe Benefits (02/21/90),"Office of Finance and
Management",OCFO-BF,02/21/90,,
DR3050-001 Mail Management (05/11/12),OO,OO,05/11/12,,
DR3050-002 Private Express Statute Violations (12/21/83),"OO-Mail and Reproduction
Management Division",OO,12/21/83,,
DR3060-001 USDA Correspondence Management (11/10/10),OES,OES,11/10/10,,
DR3060-002 Secretarially Signed Documents (07/17/10),OES,OES,07/17/10,,
DR3080-001 Records Management (08/16/16),"OCIO-Information
Resources Management",OGC-OIA-RM,08/16/16,,
DR3085-001 Vital Records Management Program (08/19/11),OCIO,OGC-OIA-RM,08/19/11,,
"DR3090-001 Litigation Retention Policy for Documentary Materials including Electronically Stored Information
(05/28/08)",OGC,OGC,05/28/08,,
"DR3099-001 Records Management Policy for Departing Employees, Contractors, Volunteers and Political
Appointees (07/02/12)",OCIO,OGC-OIA-RM,07/02/12,,
DR3105-001 USDA Chief Information Officers Council,OCIO,OCIO-EM,04/16/16,,
DR3107-001 Management of USDA IT Enterprise Initiatives (05/12/16),OCIO-EM,OCIO-EM,05/12/16,,
DR3111-001 USDA Information Technology Strategic Plan Process (06/30/21),OCIO-IRMC,OCIO-IRMC,06/30/21,06/30/26,
DR3130-008 Definition of Major Information Technology Investments (08/13/20),OCIO-IRMC,OCIO-IRMC-CPITGD,08/13/20,08/13/25,
DR3130-009 Non-Major Information Technology (IT) Investments (09/28/20),OCIO-IRMC,OCIO-IRMC-CPITGD,09/28/20,09/28/25,
DR3130-010 United States Department of Agriculture Enterprise Information Technology Governance (04/20/21),OCIO-IRMC,OCIO-IRMC-CPITGD,04/20/21,04/20/26,
DR3130-011 Information Technology Program and Project Manager Certification Requirements (02/04/16),OCIO-IRM,OCIO-IRMC,02/04/16,,
DR3130-012 Information Technology Cost Estimating (03/04/16),OCIO-IRM,OCIO-IRMC-CPITGD,03/04/16,,
DR3130-013 Information Technology Capital Planning and Investment Control (05/24/21),OCIO-IRMC,OCIO-IRMC-CPITGD,05/24/21,05/24/26,
DR3140-001 USDA Information Systems Security Policy (05/15/96),"Policy Analysis and Coordination Center, Information Resources
Management",OCIO-ISC,05/15/96,,
DR3140-002 USDA Internet Security Policy (03/07/95),"Office of Information Resources Management, Agency Technical Services
Division",OCIO-ISC,03/07/95,,
"DR3145-001 Oversight and Management of the Federal Information Technology Acquisition Reform Act (FITARA)
(05/07/21)",OCIO-IRMC,OCIO-IRMC-FITARA,05/07/21,05/07/26,
DR3150-001 Internet Domain Name Policy (12/05/06),OCIO,OCIO-ISC,12/05/06,,
