"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
"DR2340-001 Payment of MEDEVAC and Medical Expenses of Employees on Overseas Temporary Duty Assignment
(10/01/20)",FAS-OCOO,FAS-OCOO,10/1/2020,10/1/2025
"DR2400-005 FS LLL, Disclosure of Lobbying Activities (11/13/90)","Office of Operations,
Procurement Division",OO,11/13/1990,
DR2400-006 Single Audit: Audit Follow Up – Management Decision – Compliance Supplement (10/30/20),OCFO,OCFO,10/30/2020,10/30/2025
DR2405-001 Guidance on the Use of Prize Competitions and Challenges (09/30/2014),OCFO,OCFO-TARD,9/30/2014,
DR2510-001 Claims Against the United States (06/04/15),OGC,OCFO-TARD,6/4/2015,
DR2570-002 Waiver of Employee Overpayments (08/27/21),OCFO-FPD,OCFO-FPD,8/27/2021,8/27/2026
DR2600-001 Taxation of Fringe Benefits (02/21/90),"Office of Finance and
Management",OCFO-BF,2/21/1990,
DR3050-001 Mail Management (05/11/12),OO,OO,5/11/2012,
DR3050-002 Private Express Statute Violations (12/21/83),"OO-Mail and Reproduction
Management Division",OO,12/21/1983,
DR3060-001 USDA Correspondence Management (11/10/10),OES,OES,11/10/2010,
DR3060-002 Secretarially Signed Documents (07/17/10),OES,OES,7/17/2010,
DR3080-001 Records Management (08/16/16),"OCIO-Information
Resources Management",OGC-OIA-RM,8/16/2016,
DR3085-001 Vital Records Management Program (08/19/11),OCIO,OGC-OIA-RM,8/19/2011,
"DR3090-001 Litigation Retention Policy for Documentary Materials including Electronically Stored Information
(05/28/08)",OGC,OGC,5/28/2008,
"DR3099-001 Records Management Policy for Departing Employees, Contractors, Volunteers and Political
Appointees (07/02/12)",OCIO,OGC-OIA-RM,7/2/2012,
DR3105-001 USDA Chief Information Officers Council,OCIO,OCIO-EM,4/16/2016,
DR3107-001 Management of USDA IT Enterprise Initiatives (05/12/16),OCIO-EM,OCIO-EM,5/12/2016,
DR3111-001 USDA Information Technology Strategic Plan Process (06/30/21),OCIO-IRMC,OCIO-IRMC,6/30/2021,6/30/2026
DR3130-008 Definition of Major Information Technology Investments (08/13/20),OCIO-IRMC,OCIO-IRMC-CPITGD,8/13/2020,8/13/2025
DR3130-009 Non-Major Information Technology (IT) Investments (09/28/20),OCIO-IRMC,OCIO-IRMC-CPITGD,9/28/2020,9/28/2025
DR3130-010 United States Department of Agriculture Enterprise Information Technology Governance (04/20/21),OCIO-IRMC,OCIO-IRMC-CPITGD,4/20/2021,4/20/2026
DR3130-011 Information Technology Program and Project Manager Certification Requirements (02/04/16),OCIO-IRM,OCIO-IRMC,2/4/2016,
DR3130-012 Information Technology Cost Estimating (03/04/16),OCIO-IRM,OCIO-IRMC-CPITGD,3/4/2016,
DR3130-013 Information Technology Capital Planning and Investment Control (05/24/21),OCIO-IRMC,OCIO-IRMC-CPITGD,5/24/2021,5/24/2026
DR3140-001 USDA Information Systems Security Policy (05/15/96),"Policy Analysis and Coordination Center, Information Resources
Management",OCIO-ISC,5/15/1996,
DR3140-002 USDA Internet Security Policy (03/07/95),"Office of Information Resources Management, Agency Technical Services
Division",OCIO-ISC,3/7/1995,
"DR3145-001 Oversight and Management of the Federal Information Technology Acquisition Reform Act (FITARA)
(05/07/21)",OCIO-IRMC,OCIO-IRMC-FITARA,5/7/2021,5/7/2026
DR3150-001 Internet Domain Name Policy (12/05/06),OCIO,OCIO-ISC,12/5/2006,
DR3160-001 Licensed Information Technology (IT) Software (05/16/19),OCIO-CEC,OCIO-CEC,5/16/2019,5/16/2024
DR3170-001 End User Workstation Configurations (01/11/2021),OCIO-CEC,OCIO-CEC,1/11/2021,1/11/2026
DR3180-001 Information Technology Standards (01/05/2021),OCIO,OCIO-IRMC-EAD,1/5/2021,1/5/2026
DR3185-001 Enterprise Architecture (07/29/19),OCIO-IRMC,OCIO-IRMC-EAD,7/29/2019,7/29/2024
DR3185-002 Enterprise Architecture IT Asset Definitions (09/22/20),OCIO-IRMC,OCIO-IRMC-EAD,9/22/2020,9/22/2025
DR3185-003 Enterprise Architecture IT Asset Data Element Requirements (02/23/21),OCIO-IRMC,OCIO-IRMC-EAD,2/23/2021,2/23/2026
DR3300-001 Telecommunications & Internet Services and Use (03/18/16),OCIO-ENS,OCIO-DISC-ENS,3/18/2016,
DR3300-001-A Procuring and Managing Telecommunications Devices and Services (08/25/20),OCIO-DISC-ENS,OCIO-DISC-ENS,8/25/2020,8/25/2025
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
DR3300-001-B Telephone Use (07/16/20),OCIO-DISC-ENS,OCIO-DISC-ENS,7/16/2020,7/16/2025
DR3300-001-C Radio Frequency Management (09/27/19),OCIO-DISC-ENS,OCIO-DISC-ENS,9/27/2019,9/27/2024
DR3300-001-E Video Teleconferencing (03/23/99),OCIO-ENS,OCIO-CEC,3/23/1999,
DR3300-001-G Sharing Of Telecommunications Resources (09/12/19),OCIO-DISC-ENS,OCIO-DISC-ENS,9/12/2019,9/12/2024
DR3300-001-I Internet (07/29/19),OCIO-DISC-ENS,OCIO-DISC-ENS,7/29/2019,7/29/2024
DR3300-001-J Emergency Communications Programs (03/17/21),OHS,OHS,3/17/2021,3/17/2026
DR3300-001-K Installation of Telecommunications Cables in Federal Buildings (11/13/19),OCIO-DISC-ENS,OCIO-DISC-ENS,11/13/2019,11/13/2024
DR3300-001-M Internet Protocol (IP) Addresses (03/23/99),OCIO-ENS,OCIO-DISC-ENS,3/23/1999,
DR3300-004 Use of Department -Controlled Mailing Lists for Electronic Distribution of Employee Notices (11/03/06),"ASA, ASCR, and CIO","OASA, OASCR, OCIO",11/3/2006,
DR3300-006 Network Class of Service and Quality of Service (06/01/16),OCIO-ENS,OCIO-DISC-ENS,6/1/2016,
DR3300-015 Secure Communication Systems (07/14/16),OCIO-ASOC,OHS-NSSP,7/14/2016,
DR3300-020 Telecommunications Mission Area Control Officer Roles and Responsibilities (07/12/19),OCIO-DISC-ENS,OCIO-DISC-ENS,7/12/2019,7/12/2024
DR3300-025 Secure Domain Name System (03/18/16),OCIO-ENS,OCIO-DISC-ENS,3/18/2016,
DR3300-026 Planning and Managing Wireless Technologies (01/23/20),OCIO-DISC-ENS,OCIO-DISC-ENS,1/23/2020,1/23/2025
DR3410-001 Information Collection Activities-Collection of Information from the Public (01/26/22),OCIO-IRMC,OCIO-IRMC-IMD,1/26/2022,1/26/2027
DR3430-001 Web Site Development and Maintenance (05/19/04),OC,OC,5/19/2004,
DR3440-001 USDA Classified National Security Information Program Regulation (06/09/16),OHSEC,OHS-PDSD,6/9/2016,
DR3440-002 Control and Protection of “Sensitive Security Information” (01/30/03),OPPM-Personal and Document Security Division,OHS-PDSD,1/30/2003,
DR3440-003 Controlled Unclassified Information (CUI) Program (09/13/21),OHS,OHS-PDSD-CUI,9/13/2021,9/13/2026
DR3441-001 USDA Sensitive Compartmented Information Security Program (01/18/12),OHSEC,OHS,1/18/2012,
DR3445-001 Media Protection (10/30/19),OCIO-ISC,OCIO-ISC,10/30/2019,10/30/2024
DR3450-001 Computer Matching Program Involving Personally Identifiable Information (10/29/20),OCIO-Privacy Office,OCIO-ISC-Privacy,10/29/2020,10/29/2025
DR3450-002 FOIA Implementing Regulations (02/07/03),"OC-Communications
Coordination and Review Center",OGC-OIA-FOIA,2/7/2003,
DR3460-001 Digital Signage Policy and Procedures within USDA HQ facilities (04/07/21),OCIO-CEC,OCIO-CEC,4/7/2021,4/7/2026
DR3465-001 Enterprise Geospatial Data Management (08/05/16),OCIO-EGMO,OCIO-DISC-EAS-EGMO,8/5/2016,
"DR3465-002 Privacy, Civil Rights, and Civil Liberties with Unmanned Aerial Systems (UAS) (10/07/19)",OCIO-EGMO,OCIO-DISC-EAS-EGMO,10/7/2019,10/7/2024
DR3505-003 Access Control for Information and Information Systems (07/17/19),OCIO-ISC,OCIO-ISC,7/7/2019,7/17/2024
DR3505-005 Cyber Security Incident Management (11/30/18),OCIO-ISC,OCIO-ISC,11/30/2018,11/30/2023
DR3515-001 Use of Web Measurement and Customization Technologies (10/21/11),OCIO,OCIO-ISC,10/12/2011,
DR3515-002 Privacy Policy and Compliance for Personally Identifiable Information (PII) (10/30/20),OCIO,OCIO-ISC-Privacy,10/30/2020,10/30/2025
DR3520-002 Configuration Management (07/17/19),OCIO-ISC,OCIO-ISC,7/17/2019,7/17/2024
DR3530-006 Scanning and Remediation of Configuration and Patch Vulnerabilities (06/05/19),OCIO-ISC,OCIO-ISC,6/5/2019,6/5/2024
DR3540-003 Security Assessment and Authorization (08/12/14),OCIO-ASOC,OCIO-ISC,8/12/2014,
DR3545-001 Information Security Awareness and Training Policy (10/22/13),OCIO,OCIO-ISC,10/22/2013,
DR3545-003 Suitability Requirements Permitting Personnel Access to Information Systems (09/16/21),OCIO-ISC,OCIO-ISC,9/16/2021,9/16/2026
DR3565-003 Plan of Action and Milestones Policy (09/25/13),OCIO,OCIO-ISC,9/25/2013,
DR3571-001 Information System Contingency Planning and Disaster Recovery Planning (06/01/16),OCIO-ASOC,OCIO-ISC,6/1/2016,
DR3575-002 System and Information Integrity (08/16/18),OCIO-ISC,OCIO-ISC,8/16/2018,8/16/2023
DR3580-004 Securing Remote Access to USDA Information Systems and Client Devices (11/30/18),OCIO-ISC,OCIO-ISC,11/30/2018,11/30/2023
DR3580-005 Securing Client Devices for International Travel (11/30/18),OCIO-ISC,OCIO-ISC,11/30/2018,11/30/2023
DR3600-002 Electronic-Government Program (11/24/20),OCIO-IRMC,OCIO-IRMC-eGOV,11/24/2020,11/24/2025
"DR3620-001 USDA AgLearn Services, Courseware and Content (09/09/19)",OCIO & OHRM,"OCIO-DISC-AgLearn &
OHRM",9/9/2019,9/9/2024
"DR3640-001 Identity, Credential, and Access Management (06/08/21)",OCIO,OCIO-CEC,6/8/2021,6/8/2026
